datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4
2007/2/18,3829.762,255.522,344405.97,16184,6107,8003,13129,36590.367
2007/2/19,2186.614,176.584,345297,9276.8,1634,2900,13085,18824.566
2007/2/20,3149.928,187.158,345406.25,13202.6,2058,5191,9713,35536.8
2007/2/21,2072.874,189.87,346263.78,8747.2,3527,2332,11548,17140.9
2007/2/22,3369.478,137.954,343140.66,14194.2,1409,4129,12251,38368.965
2007/2/23,1313.48,149.344,346587.78,5508.6,0,503,10786,10602.333
2007/2/24,714.922,122.202,345402.88,3003.6,0,363,3562,7990.3667
2007/2/25,501.74,113.736,348021.44,2105.6,0,329,1660,6373.3335
2007/2/26,568.484,108.28,347433.97,2388.8,0,331,2830,6313.7334
2007/2/27,518.112,113.204,349839.75,2195.4,0,314,1924,6397.2
2007/2/28,520.774,113.372,348709.8,2201,0,340,1973,6366.567
2007/3/1,517.564,107.628,347502.8,2172.8,0,316,1980,6330.067
2007/3/2,515.688,107.008,346451.9,2169.8,0,340,1969,6285.8
2007/3/3,819.122,134.992,347454.84,3457.6,0,347,4597,8708.033
2007/3/4,2090.7,175.682,345642.9,8867.8,1476,8711,9408,15250
2007/3/5,2660.332,205.956,345644.5,11290,5727,12109,10026,16476.867
2007/3/6,1246.5,186.148,347022.8,5321.8,0,1740,4700,14335
2007/3/7,2375.206,171.2,346065.94,9986.4,1076,4761,15513,18236.768
2007/3/8,1572.132,187.404,346558.22,6717.8,2180,3385,6655,13982.2
2007/3/9,1272.6119,119.238,346879.38,5373,1093,345,8631,11141.2
2007/3/10,2484.712,243.528,345316.1,10572.4,4130,5422,10979,20880.867
2007/3/11,3480.636,173.37401,345610.5,14575,4810,3420,9500,40280.6
2007/3/12,1950.668,134.422,346404.56,8249,1403,2841,12353,15914.134
2007/3/13,1290.144,126.718,346893.06,5480.2,1350,3859,5323,10970.4
2007/3/14,1793.364,157.522,346719.3,7585.2,3485,480,8607,17317.4
2007/3/15,1884.814,159.326,346003.9,7953.4,0,3263,11036,17114.566
2007/3/16,1702.054,130.20801,344919.06,7189,1106,4604,5370,17287.566
2007/3/17,2028.09,127.068,343043.5,8562.4,2208,359,12275,18959.5
2007/3/18,2371.046,241.45,347108.88,10091.4,6564,7369,5856,19728.434
2007/3/19,2152.518,144.764,346315.8,9046,1648,2686,14118,17423.3
2007/3/20,2086.228,164.87,346774.53,8857.8,3745,2837,11255,16933.467
2007/3/21,2142.092,142.83,347020.78,8981.6,1865,4133,12335,17368.533
2007/3/22,1454.978,113.826,348139.47,6081.2,353,736,10462,12698.634
2007/3/23,1309.008,119.488,347969.5,5477.4,1127,777,8369,11543.8
2007/3/24,2968.43,191.024,345174.44,12532.8,3707,5797,16382,23587.834
2007/3/25,3336.124,235.972,345407.12,13990.4,4630,3600,9358,38014.066
2007/3/26,1416.082,160.966,347525,6023.6,1088,344,9096,13073.366
2007/3/27,1105.14,151.726,346466.84,4747,0,3019,3697,11703
2007/3/28,2333.898,196.518,346240.25,9870.6,1122,8527,13888,15361.3
2007/3/29,1590.406,198.696,346372.84,6734.6,1162,460,10724,14160.767
2007/3/30,1402.394,181.128,347096.5,6033,1094,468,8217,13594.233
2007/3/31,3509.51,231.504,344535.5,14781.2,2620,7707,17682,30482.834
2007/4/1,2785.952,202.552,345635.25,11735.2,4629,5401,19509,16893.533
2007/4/2,1960.778,174.336,346262.56,8226.2,1755,970,16641,13313.634
2007/4/3,1642.82,168.76,346327.12,6978.6,3630,1042,7637,15071.333
2007/4/4,2051.868,172.318,346077.78,8620.2,3434,420,14748,15595.8
2007/4/5,1844.078,244.538,347289.28,7907.8,1086,4277,10523,14848.634
2007/4/6,1601.14,143.214,347305.62,6751.6,0,5466,9166,12053.667
2007/4/7,1553.924,138.73,346145.16,6573,1127,3111,5923,15737.733
2007/4/8,1608.816,135.882,346102.8,6796.6,0,485,3545,22783.6
2007/4/9,1000.92,160.11,346392.7,4283.4,2667,514,3801,9700
2007/4/10,777.364,148.94,346771.72,3380.2,209,742,2572,9433.066
2007/4/11,887.482,192.446,347262.94,3771,0,1112,6421,7258.3667
2007/4/12,537.706,147.812,345968.72,2301,0,541,1818,6602.7666
2007/4/13,551.022,151.64,345672.7,2366.4,0,558,1988,6637.7
2007/4/14,554.268,155.61,346050.94,2378,0,578,2008,6651.8
2007/4/15,726.164,171.544,345940.84,3148.6,0,1026,2893,8183.7334
2007/4/16,952.39,186.074,346546.28,4136.4,952,1305,4656,8960.167
2007/4/17,1223.734,218.354,345881.75,5314.8,1532,389,6199,12275.566
2007/4/18,998.246,165.224,345811.38,4313.4,1579,355,3430,11273.434
2007/4/19,1028.658,149.66,346218.97,4400.4,733,1605,5748,9058.3
2007/4/20,822.58,145.646,345791.38,3592.6,1069,360,3499,8781.667
2007/4/21,1673.656,212.658,344467.06,7251.4,6575,463,11129,9727.267
2007/4/22,2233.714,267.194,345036.78,9631.4,4264,2287,11102,19575.566
2007/4/23,1054.566,135.64,341619.34,4700.4,1402,506,6005,9663.1
2007/4/24,1032.1,135.264,338896.7,4528.6,1125,527,6680,8869.667
2007/4/25,1264.162,164.73601,338315.2,5555.6,0,1469,8812,10788.366
2007/4/26,1275.466,163.606,338093.72,5650.2,1324,1845,7163,10925.767
2007/4/27,1094.332,161.928,338711.28,4770,1772,545,4756,11165.866
2007/4/28,22.738,2.86,4913.71,97.4,0,18,0,360.96667
2007/4/29,0,0,0,0,0,0,0,0
2007/4/30,420.822,71.718,135285.14,1865.8,1214,500,1131,4168.7
2007/5/1,1663.858,181.608,337937.34,7305.6,4005,995,8546,14184.967
2007/5/2,1003.486,160.092,339238.2,4523.8,7,1490,3754,11473.767
2007/5/3,1090.238,150.942,338594.25,4763,1906,1725,7836,6703.6333
2007/5/4,998.128,174.74,339422.7,4432.4,2259,538,3990,9848.467
2007/5/5,1563.052,174.102,338450.44,6820,2913,2493,11303,9341.866
2007/5/6,2102.104,182.336,337549.9,9229,3215,949,10095,20776.066
2007/5/7,1643.664,168.918,337733.25,7172.6,946,4935,9433,12080.4
2007/5/8,1789.292,181.612,338264.97,7713.2,4581,2011,8777,14452.533
2007/5/9,1665.736,183.484,338218.16,7280.8,3018,5631,9474,9639.267
2007/5/10,707.884,168.314,339546.62,3177.8,946,534,3261,7057.067
2007/5/11,979.154,132.096,338730.84,4359.8,926,491,6471,8431.233
2007/5/12,1441.566,209.172,338000.97,6279.2,2247,1075,10408,10296.1
2007/5/13,1634.738,220.67,339420.53,7155.6,3612,2414,8958,12261.634
2007/5/14,1467.782,298.552,339393.7,6586.8,3176,2417,5517,13353.033
2007/5/15,904.392,111.182,339281.28,3936,0,408,5318,9347.2
2007/5/16,1692.944,135.894,338775.56,7303.4,2213,5756,9077,11169.733
2007/5/17,1231.816,131.188,339650.6,5358.2,1014,2073,7687,9756.267
2007/5/18,1631.53,171.258,339832.22,7022.4,3270,3913,8116,11893.167
2007/5/19,1429.442,167.858,338320.4,6219.8,4683,530,7022,11589.033
2007/5/20,1968.328,187.532,338901.28,8555.8,5420,1733,7611,18041.467
2007/5/21,1120.062,117.28,337956.34,4807.6,0,468,9060,9139.7
2007/5/22,1132.852,128.916,339092.03,4895.8,931,3966,3984,9999.866
2007/5/23,1464.936,165.878,338130,6332.4,956,3792,8119,11548.6
2007/5/24,1154.3881,135.56,339186.34,4985.4,955,4116,4746,9422.8
2007/5/25,1614.22,174.588,337603.97,7003.4,8060,586,6539,11718.667
2007/5/26,1512.248,174.24,338500.62,6570.4,2373,2754,8628,11449.134
2007/5/27,2153.808,219.894,338268.16,9369.4,4366,5534,10444,15552.8
2007/5/28,1637.468,151.1,338265.47,7087.6,4554,473,9586,12678.134
2007/5/29,1061.34,113.244,339399.88,4618.4,0,1907,4332,11450
2007/5/30,1609.866,147.058,338157.22,6953,2250,5948,7804,10829.1
2007/5/31,938.55,129.586,338539,4020.2,935,477,3552,10678.5
2007/6/1,1044.918,143.182,338630.25,4512.2,0,483,7664,9268.3
2007/6/2,1484.362,166.108,337635.4,6442.6,3971,1250,7633,11885.366
2007/6/3,2108.026,182.45801,338057.8,9148.2,4985,7529,8334,14285.767
2007/6/4,911.618,223.192,338037.22,4064,1585,836,4533,8239.634
2007/6/5,1458.892,255.692,337957.6,6429.8,4484,1027,6448,12355.867
2007/6/6,1693.6381,231.06,337620.53,7351.6,3329,829,11663,12406.3
2007/6/7,985.002,172.334,337649.47,4294.6,985,699,3959,10773.7
2007/6/8,2148.046,229.732,340124.3,9285.4,2799,11440,11380,10181.767
2007/6/9,1059.814,226.656,337469.06,4565.2,852,596,6590,9625.566
2007/6/10,1340.812,239.092,346815.78,5768.2,4202,1924,5983,10237.866
2007/6/11,794.654,194.634,346833.72,3481.8,0,487,5328,7429.2334
2007/6/12,918.766,216.416,345923.84,4116.4,1882,475,3898,9057.767
2007/6/13,927.272,208.26,346172.56,4057.2,957,857,5216,8424.533
2007/6/14,1259.084,231.696,345380.8,5448,3322,2147,7054,8461.733
2007/6/15,989.604,251.762,346268.72,4415.4,2269,4011,4547,5666.4
2007/6/16,2017.762,307.558,344882.44,8604,3289,4498,11108,14734.366
2007/6/17,1947.09,239.814,345915.62,8307.8,4124,5038,8734,14555.5
2007/6/18,678.474,180.81,346717.72,2993.4,0,529,4241,6537.9
2007/6/19,842.36,187.98601,345507.2,3682.4,973,535,4357,8174.3335
2007/6/20,1074.286,227.302,345824.88,4761.8,1761,2588,5106,8449.767
2007/6/21,806.946,222.546,346427.9,3601.2,932,2400,3711,6406.1
2007/6/22,566.294,208.526,346803.3,2602.6,0,951,3482,5005.2334
2007/6/23,477.566,193.12,346059.3,2211.4,0,786,2402,4771.4336
2007/6/24,714.656,179.362,347230.38,3179,0,791,3449,7670.933
2007/6/25,1072.202,197.27,346208.06,4680,1985,3621,4816,7448.033
2007/6/26,944.908,182.42,345736.1,4143,971,1334,5231,8212.467
2007/6/27,1480.826,206.998,345252.12,6378,2603,6451,7270,8356.434
2007/6/28,1295.438,217.446,344770.1,5601,0,4368,9541,7681.6333
2007/6/29,1304.198,206.194,345622.34,5673.2,4363,667,6797,9909.634
2007/6/30,1335.314,188.354,345616.72,5719,3049,792,8376,10038.233
2007/7/1,1026.664,172.448,345696.7,4436.2,969,736,4690,10716.066
2007/7/2,967.032,176.924,346567.4,4216,1018,5281,3445,6373.2
2007/7/3,1059.912,180.338,345869.2,4652.2,467,3214,4695,9289.2
2007/7/4,1003.41,253.334,346549.88,4457.4,2329,2218,5632,6544.5
2007/7/5,1057.29,246.716,346240,4655.8,2922,770,3973,9956.5
2007/7/6,1069.524,219.35,346463.22,4706.8,2826,3563,4005,7431.4
2007/7/7,1358.206,214.044,345470.6,5810.2,997,3047,10177,8415.767
2007/7/8,1089.08,196.92,346088,4736.6,1825,2831,5277,8218.333
2007/7/9,1180.158,172.422,346489.4,5063.4,923,594,9386,8766.3
2007/7/10,908.324,176.244,345575.6,4012,67,2227,4631,8213.733
2007/7/11,722.352,153.856,347083.25,3167.2,1015,647,5284,5093.2
2007/7/12,1069.582,209.098,346701.06,4656.4,1029,2550,6419,7828.3667
2007/7/13,794.382,206.694,346830.9,3529.2,0,633,4427,8179.7
2007/7/14,1288.17,258.45,347460.3,5607.4,3775,1968,6604,9122.5
2007/7/15,917.024,233.182,315181.47,4050,862,632,5585,8204.733
2007/7/16,853.674,233.96,340570.4,3831.2,830,695,4176,8526.9
2007/7/17,719.632,176.088,338027.4,3277.8,848,694,3335,7116.8667
2007/7/18,757.082,156.514,332767.06,3437,909,671,4628,6410.033
2007/7/19,677.886,187.012,337337.1,3087.2,1068,703,3130,6397.1
2007/7/20,1110.422,223.118,339219.22,4970.4,2111,2418,4765,9213.033
2007/7/21,1060.248,236.158,337329.53,4739.8,428,512,7756,8974.8
2007/7/22,1375.774,218.246,339551.8,6082,7091,2136,5563,8139.567
2007/7/23,991.018,143.77,337681.25,4429.4,1747,1288,3847,9634.967
2007/7/24,825.284,112.81,338922.78,3673.4,0,1607,5599,6548.7334
2007/7/25,472.56,108.234,339323.12,2130.2,0,151,2333,5392
2007/7/26,924.5,115.092,338318.97,4087,975,3633,4346,6454.3335
2007/7/27,1202.514,120.456,339197.3,5217.6,1837,49,7157,10998.9
2007/7/28,1621.862,178.73,339130.4,7116,907,10265,6559,9300.033
2007/7/29,321.116,118.576,339425.34,1488.2,0,0,1288,4063.9333
2007/7/30,466.816,129.492,339163.53,2112.8,0,0,2528,5252.2666
2007/7/31,812.332,145.786,338277.34,3603.6,3277,0,3575,6686.8667
2007/8/1,1060.338,142.556,333478.03,4616.6,1583,0,9812,6277.3
2007/8/2,1019.416,144.954,338193.5,4445.4,482,0,6869,9639.267
2007/8/3,1063.364,125.388,337659.28,4618.4,958,0,9139,7625.7334
2007/8/4,1144.99,139.226,338770.4,4971.4,552,398,7966,10167.167
2007/8/5,787.098,151.254,338566,3509,169,0,6647,6302.3
2007/8/6,1089.72,154.434,337971.94,4776.6,1096,0,7985,9081
2007/8/7,1483.58,131.182,337757.6,6373.4,437,2168,9042,13079.333
2007/8/8,1125.482,119.096,337697.8,4868,1055,1111,9660,6932.033
2007/8/9,1071.68,109.474,337268.72,4712.2,182,4515,6646,6518.3335
2007/8/10,1028.01,117.656,337663.88,4506.8,336,2651,8287,5859.5
2007/8/11,1091.65,115.77,338371.47,4731.4,1180,910,10339,5765.1665
2007/8/12,1241.904,127.776,339357.38,5389.6,1123,1156,8582,9837.4
2007/8/13,1153.012,130.94,338711.88,4966.2,93,476,11101,7546.8667
2007/8/14,941.19,132.01,341390,4110,951,685,6256,7794.5
2007/8/15,1191.86,159.764,345590.5,5100.6,338,508,9787,9231.333
2007/8/16,958.496,131.532,345222.22,4095.2,962,0,7476,7536.933
2007/8/17,1009.892,127.388,346311.44,4293.4,244,0,7769,8818.533
2007/8/18,347.96,119.24,347442.66,1553.6,0,0,1830,3969.3333
2007/8/19,1422.294,160.018,345533.28,6137.2,1025,8912,5989,7778.9
2007/8/20,1338.842,155.88,347473,5707.2,1032,6965,7383,6934.033
2007/8/21,642.556,157.308,346425.2,2824,0,38,3296,7375.2666
2007/8/22,1209.808,154.288,346776.94,5142.6,3048,1836,7241,8038.467
2007/8/23,1112.312,157.954,346532.12,4795.6,2502,259,5342,10435.533
2007/8/24,1656.214,262.692,346071.78,7106.6,1891,3782,9944,11986.566
2007/8/25,1150.88,272.548,345398.16,5117.4,4149,2191,5678,7163.3335
2007/8/26,1314.906,299.388,345529.3,5778.2,1541,3645,5658,11071.1
2007/8/27,1211.73,299.084,345489.97,5315.4,2305,1229,6344,10317.5
2007/8/28,997.004,181.114,344951.8,4314.4,1038,2468,5483,7627.7334
2007/8/29,747.992,175.426,346672.78,3282.6,957,562,4932,6015.533
2007/8/30,1202.458,191.048,346425.38,5190.2,3822,2580,4221,9417.967
2007/8/31,1279.822,187.256,345579.4,5455.4,1200,666,8738,10726.366
2007/9/1,1701.486,289.846,344672.28,7294.2,2497,569,9733,15559.1
2007/9/2,1662.468,231.598,345665.28,7224.8,3613,1617,8806,13671.8
2007/9/3,1038.922,188.422,345053.3,4508.2,621,2515,5323,8856.366
2007/9/4,1584.944,179.626,345109.9,6848.6,2928,3501,9821,10165.733
2007/9/5,1236.572,148.864,344373.34,5324.6,0,4144,6705,9760.533
2007/9/6,901.474,172.026,344649.66,3963.2,0,3888,3461,7675.567
2007/9/7,1336.496,181.738,344205.66,5770.4,3632,551,9388,8703.934
2007/9/8,1469.752,186.33,345211.84,6324.4,3339,1801,9164,10191.866
2007/9/9,1679.502,209.152,344047.88,7277.8,2184,4438,9233,12136.7
2007/9/10,1117.376,177.498,344719.66,4843.8,935,595,5613,11479.934
2007/9/11,983.572,151.764,345703.66,4251,943,550,5792,9107.866
2007/9/12,1287.764,171.794,345621.7,5558.4,0,3217,7755,10490.733
2007/9/13,1146.382,165.95801,344606.16,4988.8,1175,2523,3853,11555.366
2007/9/14,1135.47,183.126,344594.72,4960.4,901,676,5804,11543.5
2007/9/15,1095.312,184.466,345602.84,4720.6,0,1449,6464,10342.2
2007/9/16,1652.224,192.352,344967.06,7151.4,3118,3064,9310,12045.066
2007/9/17,1461.186,202.314,344469.3,6355.4,6651,926,6279,10497.1
2007/9/18,1167.52,147.132,343095.38,5058.4,1888,2029,5425,10116.667
2007/9/19,1298.684,151.794,346039.5,5592,0,2743,7937,10964.733
2007/9/20,1255.532,132.908,345189.6,5358.2,1056,489,9996,9384.533
2007/9/21,1238.78,152.834,344709.3,5375,3130,2745,6316,8455.333
2007/9/22,1176.172,183.432,344855.56,5061.8,944,1311,7688,9659.866
2007/9/23,1417.97,242.974,344880.62,6163.2,2831,1929,7382,11490.833
2007/9/24,1354.53,197.624,343584.88,5873.4,929,3935,7955,9756.5
2007/9/25,1764.342,130.078,342863.44,7497.2,916,2253,9820,16416.7
2007/9/26,1822.264,168.628,344292.53,7732.2,1058,9415,5661,14237.066
2007/9/27,1392.6,150.71,344976.56,5872,1066,643,7324,14177
2007/9/28,1680.498,222.718,344825.9,7191.6,996,3722,9952,13338.3
2007/9/29,2296.522,182.122,344361.75,9782.2,4085,7457,8190,18543.367
2007/9/30,1516.29,163.588,345693.28,6411.6,1405,582,10225,13059.5
2007/10/1,1720.922,146.734,344505.47,7306.2,1507,6622,5960,14593.033
2007/10/2,2198.864,161.828,343431.06,9322.6,508,8022,12815,15302.733
2007/10/3,1280.454,157.738,344535.94,5472,979,5024,3692,11645.9
2007/10/4,1518.458,138.448,344455.3,6414.6,2400,444,9710,12753.634
2007/10/5,1394.092,150.636,343911.03,5889.2,0,351,9425,13458.866
2007/10/6,1756.24,186.192,343268.22,7441.4,4840,347,9666,14417.667
2007/10/7,2106.114,153.178,343909.84,8939.4,2498,8255,10886,13462.9
2007/10/8,1095.242,121.896,344299.03,4652.8,0,420,5082,12752.033
2007/10/9,1687.858,159.802,343985.97,7174.6,2034,2147,9290,14659.967
2007/10/10,1166.972,132.752,344766.47,5023.6,1863,2117,3345,12124.533
2007/10/11,1732.446,153.108,343359.6,7357,2630,414,7806,18024.1
2007/10/12,1914.504,137.984,343413.1,8160.6,1020,5028,11659,14201.4
2007/10/13,1926.728,125.204,343822.2,8209,969,3799,8463,18881.133
2007/10/14,2061.252,150.05,344305.5,8753.4,2930,7494,7126,16804.2
2007/10/15,1266.33,118.182,344581.5,5359.6,1061,339,7654,12051.5
2007/10/16,1964.442,185.414,343962.16,8385.4,0,7871,9876,14993.7
2007/10/17,1576.93,136.4,344436.66,6677.2,1065,453,8968,15796.167
2007/10/18,1518.53,122.5,345312.4,6384.6,1162,317,9864,13965.833
2007/10/19,2085.648,121.478,345099.12,8788.6,1299,3124,11648,18689.8
2007/10/20,1660.246,139.544,348227.75,6933.2,2363,296,13225,11786.767
2007/10/21,1941.94,154.028,347746.66,8210.4,3712,4357,7313,16983.666
2007/10/22,1652.896,116.41,346385.38,6920.4,0,299,13027,14222.267
2007/10/23,1954.648,127.484,346891.4,8214,1067,5186,10680,15644.467
2007/10/24,1865.636,146.782,346763.9,7881.4,4459,364,9115,17155.934
2007/10/25,1853.918,132.2,346280.6,7795.6,1478,2433,7385,19602.633
2007/10/26,1437.568,109.676,346580.44,6286.8,0,348,5766,17845.467
2007/10/27,1785.688,109.186,345889.75,7645.2,1374,4856,8949,14582.467
2007/10/28,512.158,92.298,346847.12,2138.8,0,283,1765,6487.967
2007/10/29,545.428,86.998,347318.38,2267.2,0,269,2749,6072.467
2007/10/30,811.008,89.84,346501.34,3386,0,1935,4256,7325.8
2007/10/31,1283.21,107.2,346088.12,5389,0,4700,8915,7771.8335
2007/11/1,496.216,85.046,346951.3,2067.8,0,293,1991,5986.2666
2007/11/2,1443.602,93.362,344662.53,6051.8,1346,2115,12245,8354.033
2007/11/3,492.55,88.124,345874.34,2065.4,0,282,1936,5991.1665
2007/11/4,1485.686,138.802,345895.94,6313,0,4387,7068,13306.434
2007/11/5,1500.592,131.35,345109.12,6330.6,1265,397,6583,16764.867
2007/11/6,2082.378,200.526,343730.8,8855.8,1105,5515,10690,17396.3
2007/11/7,1844.758,193.52,344973.47,7892.8,5042,301,6374,19028.967
2007/11/8,1501.06,134.698,346683.8,6386.4,1715,314,6500,16488.666
2007/11/9,2171.226,113.242,343750.22,9168.8,0,4573,15375,16239.1
2007/11/10,2611.6,237.65201,344319,11098,3697,304,13767,25758.666
2007/11/11,1887.124,185.61,345974.78,7978.4,3445,320,6024,21663.066
2007/11/12,2156.146,137.468,345348.84,9031.6,1018,4165,13281,17471.768
2007/11/13,2214.398,140.952,347217.1,9293,978,4933,11076,19919.633
2007/11/14,2047.994,141.59,345522.28,8554.6,1055,295,16345,16438.232
2007/11/15,1491.988,133.066,345578.38,6330.8,1606,571,7503,15186.467
2007/11/16,2309.754,123.978,347016.25,9674,1991,4660,13564,18280.9
2007/11/17,2610.094,168.03,346468.94,10942.4,2588,2199,14990,23724.566
2007/11/18,2183.858,161.762,348855.06,9140.6,5201,2097,7066,22033.633
2007/11/19,1723.654,112.03,349583.56,7209,1089,253,10750,16635.566
2007/11/20,2095.856,124.832,347527.9,8770.2,1015,3954,11026,18935.934
2007/11/21,1751.836,131.48,347513.84,7360.4,1139,549,9455,18054.266
2007/11/22,1932.378,143.108,347853.66,8145,2867,297,9001,20041.3
2007/11/23,2522.618,138.912,346640.22,10570.6,2168,6181,13685,20009.633
2007/11/24,1899.054,150.512,348195.94,7938.2,1573,4131,13451,12495.9
2007/11/25,1395.598,122.776,349432.06,5884.8,3556,279,5678,13746.967
2007/11/26,1569.716,117.05,347207.75,6626,1088,288,8926,15859.934
2007/11/27,2801.012,139.994,347502.38,11745,1063,11020,15111,19489.533
2007/11/28,1644.94,115.442,349768.53,6876.8,1182,769,7810,17654.666
2007/11/29,1719.23,118.71,349289.97,7221.6,2031,283,8818,17521.834
2007/11/30,2331.728,147.28,350622.38,9730.4,0,7941,13601,17320.133
2007/12/1,3134.942,288.892,345983.16,13235.8,9356,353,17847,24693.033
2007/12/2,2946.188,325.082,346651.22,12410.8,2090,6915,10636,29462.133
2007/12/3,1762.06,131.914,347154.62,7438.4,1141,299,10428,17499.666
2007/12/4,2067.636,145.016,347811.8,8705,1012,5828,8561,19059.6
2007/12/5,2153.12,178.398,347368.16,9141.4,3422,295,10919,21249.334
2007/12/6,2487.934,161.936,345182.53,10566.6,4751,318,11908,24488.566
2007/12/7,1769.016,147.64,346566.3,7427.4,459,3710,10263,15051.6
2007/12/8,2213.404,154.34,344966.3,9371.6,1133,2354,12283,21120.066
2007/12/9,2274.584,200.936,345477.72,9650.2,4176,2428,8728,22577.732
